I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-29,-87,-58,58,14,-73,-4,43,-122,-82,-73,-102, 
-29,-87,-58,58,14,-73,-4,43,-122,-82,-73,-102, 
-19,-78,-58,48,19,-68,0,43,-122,-82,-63,-102, 
-19,-82,-63,51,21,-73,4,43,-122,-82,-63,-102, 
-19,-82,-63,51,21,-73,9,43,-122,-82,-63,-102, 
-19,-82,-63,51,21,-73,14,34,-122,-82,-63,-102, 
-19,-73,-53,46,17,-63,29,63,-107,-63,-53,-92, 
-19,-73,-53,46,17,-63,29,63,-107,-63,-53,-92, 
-9,-68,-58,39,24,-63,29,68,-107,-68,-58,-97, 
-9,-68,-58,39,24,-63,34,68,-107,-58,-58,-87, 
-9,-68,-58,39,24,-63,39,68,-107,-58,-58,-87, 
-9,-68,-58,39,24,-63,43,68,-107,-58,-58,-87, 
-9,-68,-58,39,24,-63,48,68,-107,-58,-58,-87, 
-9,-53,-43,31,17,-48,58,78,-97,-48,-58,-78, 
-4,-43,-39,24,17,-41,58,78,-92,-43,-58,-78, 
-4,-39,-34,21,14,-36,58,78,-92,-43,-58,-78, 
-4,-34,-29,19,12,-31,63,78,-92,-43,-58,-78, 
-9,-48,-39,29,14,-43,63,87,-97,-43,-48,-82, 
-9,-58,-48,34,19,-53,58,87,-97,-43,-43,-82, 
-9,-63,-53,36,21,-58,53,87,-97,-43,-43,-78, 
-9,-63,-53,36,21,-58,48,87,-97,-43,-43,-78, 
9,-53,-63,21,36,-58,43,97,-82,-34,-43,-78, 
19,-48,-68,14,43,-58,34,92,-82,-34,-43,-78, 
29,-43,-73,7,51,-58,29,92,-82,-34,-43,-78, 
34,-43,-78,4,56,-61,19,82,-82,-34,-43,-73, 
39,-53,-92,7,65,-73,4,92,-78,-29,-39,-63, 
39,-43,-82,2,61,-63,4,87,-78,-29,-34,-63, 
43,-34,-78,-4,61,-56,-4,82,-82,-29,-29,-63, 
43,-29,-73,-7,58,-51,-4,78,-82,-29,-24,-63, 
39,-19,-58,-9,48,-39,-9,63,-92,-34,-29,-63, 
39,-19,-58,-9,48,-39,-9,58,-92,-39,-29,-63, 
34,-19,-53,-7,43,-36,-9,53,-92,-43,-24,-63, 
29,-19,-48,-4,39,-34,-9,48,-92,-43,-24,-63, 
19,-19,-39,0,29,-29,-9,48,-102,-43,-34,-63, 
19,-19,-39,0,29,-29,-9,48,-107,-48,-34,-63, 
19,-19,-39,0,29,-29,-4,48,-107,-48,-39,-63, 
19,-19,-39,0,29,-29,-4,48,-107,-48,-39,-63, 
19,-29,-48,4,34,-39,4,48,-97,-48,-39,-63, 
14,-39,-53,12,34,-46,0,48,-97,-48,-39,-63, 
9,-43,-53,17,31,-48,0,43,-97,-53,-39,-63, 
9,-48,-58,19,34,-53,0,43,-102,-58,-34,-63, 
19,-53,-73,17,46,-63,0,43,-102,-58,-34,-63, 
19,-58,-78,19,48,-68,0,43,-102,-53,-39,-63, 
19,-58,-78,19,48,-68,0,43,-102,-53,-39,-63, 
9,-58,-68,24,39,-63,0,43,-102,-53,-43,-63, 
0,-58,-58,29,29,-58,-4,39,-102,-58,-43,-68, 
-4,-68,-63,36,29,-65,-4,29,-112,-63,-43,-68, 
-9,-73,-63,41,26,-68,-9,24,-112,-73,-53,-78, 
-24,-78,-53,51,14,-65,-9,24,-112,-73,-58,-82, 
-34,-68,-34,51,0,-51,-9,19,-122,-78,-53,-78, 
-34,-73,-39,53,2,-56,-9,14,-126,-82,-58,-82, 
-34,-73,-39,53,2,-56,-14,14,-131,-82,-63,-82, 
-39,-78,-39,58,0,-58,-14,14,-131,-82,-63,-87, 
-43,-92,-48,68,2,-70,-14,14,-146,-92,-68,-97, 
-43,-102,-58,73,7,-80,-14,9,-146,-97,-73,-97, 
-43,-112,-68,78,12,-90,-29,4,-151,-102,-73,-97, 
-39,-112,-73,75,17,-92,-34,0,-161,-102,-78,-107, 
-39,-117,-78,78,19,-97,-29,-4,-161,-107,-78,-112, 
-39,-117,-78,78,19,-97,-29,-9,-165,-112,-82,-117, 
-39,-117,-78,78,19,-97,-29,-14,-165,-112,-87,-117, 
-39,-122,-82,80,21,-102,-29,-14,-165,-112,-87,-117, 
